title,content,comment,url,date
아니 시발 실화냐,"학교 강의 월수금 9시부터 6시까지 해 놓는 대신 화목 공강으로 해놨는데

개강 총회랑 동아리 단체 모임이 다음주, 다다음주 목요일임

2주 연속으로 행사 하나 하는거 때문에 2시간 전철 타고 가서 저녁에 술 먹고 다시 전철 2시간 타고 집에 와야됨 에바야",이야 이건 억까지,https://m.humoruniv.com/board/read.html?table=pdswait&number=11201197,2024-08-31 22:42
아니 시발 실화냐,"학교 강의 월수금 9시부터 6시까지 해 놓는 대신 화목 공강으로 해놨는데

개강 총회랑 동아리 단체 모임이 다음주, 다다음주 목요일임

2주 연속으로 행사 하나 하는거 때문에 2시간 전철 타고 가서 저녁에 술 먹고 다시 전철 2시간 타고 집에 와야됨 에바야",ㅋㅋ,https://m.humoruniv.com/board/read.html?table=pdswait&number=11201197,2024-08-31 22:42
아니 시발 실화냐,"학교 강의 월수금 9시부터 6시까지 해 놓는 대신 화목 공강으로 해놨는데

개강 총회랑 동아리 단체 모임이 다음주, 다다음주 목요일임

2주 연속으로 행사 하나 하는거 때문에 2시간 전철 타고 가서 저녁에 술 먹고 다시 전철 2시간 타고 집에 와야됨 에바야",2시간거리를 통학해?!,https://m.humoruniv.com/board/read.html?table=pdswait&number=11201197,2024-08-31 22:42
조깅하는 사람있어?,"이제 개강이라 아침에 조깅하고 학교가려는데

월화토일은 공강이라 9-10시? 까지 자고

강의요일인 수목금은 아침 7시에 인나서 조깅할라하거든?

근데 이렇게 불규칙하게 하면 생체리듬깨져서 건강 나빠짐?",몰라서 추..,https://m.humoruniv.com/board/read.html?table=pdswait&number=11188930,2024-08-24 18:47
조깅하는 사람있어?,"이제 개강이라 아침에 조깅하고 학교가려는데

월화토일은 공강이라 9-10시? 까지 자고

강의요일인 수목금은 아침 7시에 인나서 조깅할라하거든?

근데 이렇게 불규칙하게 하면 생체리듬깨져서 건강 나빠짐?",조깅해서 생체리듬 깨진다는 말은 못들어봤는데,https://m.humoruniv.com/board/read.html?table=pdswait&number=11188930,2024-08-24 18:47
학교 5과목 듣는데 무공강이라면 믿으시겠읍니까,"무려 학교에서 공식으로 짜준 시간표라면
믿을 수 있겠습니까

이게 말이 되냐거~~~~",그거 완전 고등학생,https://m.humoruniv.com/board/read.html?table=pdswait&number=11185642,2024-08-22 19:16
학교 5과목 듣는데 무공강이라면 믿으시겠읍니까,"무려 학교에서 공식으로 짜준 시간표라면
믿을 수 있겠습니까

이게 말이 되냐거~~~~",매일 걸을 수 있으니까 럭키비키잖앙,https://m.humoruniv.com/board/read.html?table=pdswait&number=11185642,2024-08-22 19:16
대학 강좌에 마블 시네마틱 유니버스 교양 강좌 있었는데,"시간표 짜다가 아무래도 강의 하나 듣자고 공강 버리고 왕복 3시간 하는건 아닌거 같아서 버림

1학기때 이미 만난 교수님이라 강의 듣고 싶었는데",다현이랑 결혼할때까지 밥 안먹을거에요,https://m.humoruniv.com/board/read.html?table=pdswait&number=11163545,2024-08-09 11:56
대학 강좌에 마블 시네마틱 유니버스 교양 강좌 있었는데,"시간표 짜다가 아무래도 강의 하나 듣자고 공강 버리고 왕복 3시간 하는건 아닌거 같아서 버림

1학기때 이미 만난 교수님이라 강의 듣고 싶었는데",마블 유니버스 과목이면 뭘 배우는거야,https://m.humoruniv.com/board/read.html?table=pdswait&number=11163545,2024-08-09 11:56
수강신청 함,"월수금 학교 가고 화목 공강임

전공 과목을 월 수 9시랑 4시 반에 깔아놓고 금요일 밤까지 깔아놓는건 너무한거 아니냐",,https://m.humoruniv.com/board/read.html?table=pdswait&number=11163480,2024-08-09 11:10
142학점 듣고 졸업함,"참고로 3,4학년때는 （4학년 2학기 빼고는 ）더블 강의 들었다
2주 실습 나갔다 들어오면 2주동안 9교시 들었다...
공강이 뭔데",김헤르미온느ㄷㄷ,https://m.humoruniv.com/board/read.html?table=pride&number=888483,2024-08-06 12:06
142학점 듣고 졸업함,"참고로 3,4학년때는 （4학년 2학기 빼고는 ）더블 강의 들었다
2주 실습 나갔다 들어오면 2주동안 9교시 들었다...
공강이 뭔데",추억이넹 ㅋㅋㅋㅋ 다시 저때로 가라하면 안감,https://m.humoruniv.com/board/read.html?table=pride&number=888483,2024-08-06 12:06
아침부터 조진하루,"수강신청하러 피시방 ㄱㄱ

안전빵으로 창 세개 띄움

근데 무한로딩 걸림

침착하게 기다리면 되겠지 싶어서 여유롭게 에타 들어감
자유게시판 보니까 벌써 올클 했다는 글들 발견

좆됐다 싶어서 새로고침 해보지만 무한로딩 지옥

그래서 호다닥 핸드폰으로 접속
접속 존나 잘됨 컴퓨터는 여전히 무한로딩

원래 신청하려던 강의 꽉차버림 그래서 다른 강의 신청하고
시간 남았으니 피파 수수료나 받으려고 했는데
이 미친게임 갑자기 점검

터덜터덜 현타온 채 집으로 귀가

내 공강….",,https://m.humoruniv.com/board/read.html?table=pdswait&number=11149832,2024-08-01 10:39
수요일까지 공강이야,엘든링 하는중,,https://m.humoruniv.com/board/read.html?table=solo&number=650756,2024-06-24 17:48
수요일까지 공강이야,뭐하지,난 수요일까지 풀강인데,https://m.humoruniv.com/board/read.html?table=solo&number=650486,2024-06-22 23:45
어우 좋다,"다음주부터 보강주라
실질적으론 오늘 공강이라
친규들어랑 잔뜩 마시고
편의점 들려서 아이스크림 하나
먹으면서 집 오니깐 너무 졸다 ㅎㅎㅎㅎㅎㅎ
섹스!!!!!!!
어쌔신 크리드 좀 하면서 한잔 더 하고
술 좀 깨고 새벼깅 자야ㅜ지 ㅎㅎㅎㅎㅎㅎ",어으 술냄시,https://m.humoruniv.com/board/read.html?table=pdswait&number=11043409,2024-06-05 23:36
어우 좋다,"다음주부터 보강주라
실질적으론 오늘 공강이라
친규들어랑 잔뜩 마시고
편의점 들려서 아이스크림 하나
먹으면서 집 오니깐 너무 졸다 ㅎㅎㅎㅎㅎㅎ
섹스!!!!!!!
어쌔신 크리드 좀 하면서 한잔 더 하고
술 좀 깨고 새벼깅 자야ㅜ지 ㅎㅎㅎㅎㅎㅎ",디아루가 넷트볼로 잡는구나... 포획률 높지 않을건데,https://m.humoruniv.com/board/read.html?table=pdswait&number=11043409,2024-06-05 23:36
친한 언니랑 공강때 만화카페가서,"두근거리는 맘으로 들어갔는데

비엘물이있는거임

신세계더라,,,,,,,,,,,,,,,

근데그방에 잔뜩있어서 그방에만머물러서봤는데

나중에알고보니 비엘전용방이었고

난거기서대놓고비엘물을봤던거임",ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://m.humoruniv.com/board/read.html?table=pdswait&number=10817567,2024-02-15 3:15
친한 언니랑 공강때 만화카페가서,"두근거리는 맘으로 들어갔는데

비엘물이있는거임

신세계더라,,,,,,,,,,,,,,,

근데그방에 잔뜩있어서 그방에만머물러서봤는데

나중에알고보니 비엘전용방이었고

난거기서대놓고비엘물을봤던거임",방어야너정말개방적이구나,https://m.humoruniv.com/board/read.html?table=pdswait&number=10817567,2024-02-15 3:15
친한 언니랑 공강때 만화카페가서,"두근거리는 맘으로 들어갔는데

비엘물이있는거임

신세계더라,,,,,,,,,,,,,,,

근데그방에 잔뜩있어서 그방에만머물러서봤는데

나중에알고보니 비엘전용방이었고

난거기서대놓고비엘물을봤던거임",너왜대학생임?,https://m.humoruniv.com/board/read.html?table=pdswait&number=10817567,2024-02-15 3:15
친한 언니랑 공강때 만화카페가서,"두근거리는 맘으로 들어갔는데

비엘물이있는거임

신세계더라,,,,,,,,,,,,,,,

근데그방에 잔뜩있어서 그방에만머물러서봤는데

나중에알고보니 비엘전용방이었고

난거기서대놓고비엘물을봤던거임",언니 예쁨?,https://m.humoruniv.com/board/read.html?table=pdswait&number=10817567,2024-02-15 3:15
친한 언니랑 공강때 만화카페가서,"두근거리는 맘으로 들어갔는데

비엘물이있는거임

신세계더라,,,,,,,,,,,,,,,

근데그방에 잔뜩있어서 그방에만머물러서봤는데

나중에알고보니 비엘전용방이었고

난거기서대놓고비엘물을봤던거임",존중 존중,https://m.humoruniv.com/board/read.html?table=pdswait&number=10817567,2024-02-15 3:15
친한 언니랑 공강때 만화카페가서,"두근거리는 맘으로 들어갔는데

비엘물이있는거임

신세계더라,,,,,,,,,,,,,,,

근데그방에 잔뜩있어서 그방에만머물러서봤는데

나중에알고보니 비엘전용방이었고

난거기서대놓고비엘물을봤던거임",추천좀,https://m.humoruniv.com/board/read.html?table=pdswait&number=10817567,2024-02-15 3:15
친한 언니랑 공강때 만화카페가서,"두근거리는 맘으로 들어갔는데

비엘물이있는거임

신세계더라,,,,,,,,,,,,,,,

근데그방에 잔뜩있어서 그방에만머물러서봤는데

나중에알고보니 비엘전용방이었고

난거기서대놓고비엘물을봤던거임",너는 스페이스바 누르는게 유료니?,https://m.humoruniv.com/board/read.html?table=pdswait&number=10817567,2024-02-15 3:15
친한 언니랑 공강때 만화카페가서,"두근거리는 맘으로 들어갔는데

비엘물이있는거임

신세계더라,,,,,,,,,,,,,,,

근데그방에 잔뜩있어서 그방에만머물러서봤는데

나중에알고보니 비엘전용방이었고

난거기서대놓고비엘물을봤던거임",근데 재미는 있으셨나요?,https://m.humoruniv.com/board/read.html?table=pdswait&number=10817567,2024-02-15 3:15
내일 공강이다,맥주 ㄱ?,다음날 수업이 있어도 먹는게 술아녔어?,https://m.humoruniv.com/board/read.html?table=pride&number=758908,2024-02-07 17:27
오피셜 떴다,보닌 내일 공강임,왜 구자욱이 아니지,https://m.humoruniv.com/board/read.html?table=pride&number=743597,2023-12-21 21:29
오피셜 떴다,보닌 내일 공강임,ㄹㅇ? ㅅㅂ 어디서 나온 말임? 답글점...,https://m.humoruniv.com/board/read.html?table=pride&number=743597,2023-12-21 21:29
오늘 기분좋은 이유,공강날인데 과제 전시때문에 학교옴.,덕분에 저도 기분이 좋아졌어요,https://m.humoruniv.com/board/read.html?table=workshop&number=120634,2023-12-06 10:22
오늘 기분좋은 이유,공강날인데 과제 전시때문에 학교옴.,학교를 사랑하는구나,https://m.humoruniv.com/board/read.html?table=workshop&number=120634,2023-12-06 10:22
오늘 기분좋은 이유,공강날인데 과제 전시때문에 학교옴.,공강임에도 불구하고 학교를 가는걸 보니 학교를 사랑하는게 분명해,https://m.humoruniv.com/board/read.html?table=workshop&number=120634,2023-12-06 10:22
오늘 기분좋은 이유,공강날인데 과제 전시때문에 학교옴.,학교도 가고 부러워요,https://m.humoruniv.com/board/read.html?table=workshop&number=120634,2023-12-06 10:22
오늘 기분좋은 이유,공강날인데 과제 전시때문에 학교옴.,오우 청춘~,https://m.humoruniv.com/board/read.html?table=workshop&number=120634,2023-12-06 10:22
지금 방어 맛있나?,"내일 공강이라 한잔 하려고 하는데
방어 먹을까 싶은데
더 추워져야 맛이 올라오려나?",공격이 더 맛있음,https://m.humoruniv.com/board/read.html?table=pride&number=738720,2023-11-29 16:47
지금 방어 맛있나?,"내일 공강이라 한잔 하려고 하는데
방어 먹을까 싶은데
더 추워져야 맛이 올라오려나?",좀더 추워지면 그때가 기름기 최고치가 됨,https://m.humoruniv.com/board/read.html?table=pride&number=738720,2023-11-29 16:47
내일 공강이다,오늘 뭐하지,폭딸,https://m.humoruniv.com/board/read.html?table=pride&number=738572,2023-11-29 13:02
우리 학교에 스포렉스 시설이 있는데,"우리 학교에 체육시설이 있거든요.
이걸 4학년 2학기가 끝날 때 돼서도 안 썼다는 점이 좀 그렇긴 하지만, 모레 한번 가보려고요.
내일은 공강이고 병원 예약이 있어서 안 되고, 모레는 될 것 같아요.
헬스장이랑 스쿼시장이랑 GX룸, 골프장, 사우나가 있다는데, 한번 저 시설 써봐야죠.",,https://m.humoruniv.com/board/read.html?table=workshop&number=120307,2023-11-28 23:02
자체공강의 유혹을 참았다,"잘참았다 나 !
넘쉬고싶어",,https://m.humoruniv.com/board/read.html?table=workshop&number=120132,2023-11-24 8:59
