타임스탬프,성별,대학교,전공,학년,통학시간,공강유무,평균공강시간,뭐하는지,어디가는지,얼마나가는지,누구와가는지,충분한지,뭘하고싶은지
8-30-2024 22:35:01,F,국민대,국제경영,졸업,10분 미만,O,1~3시간,"과제/공부, 식사",집,5회 이상,혼자,충분하지 않다.,수다
8-30-2024 22:48:20,M,국민대,지역학,4,30분 이상 - 1시간 미만,O,1~3시간,과제/공부,"과방/과실, 도서관",1~2회,혼자,충분하지 않다.,잠
8-30-2024 22:49:28,F,국민대,패션,4,10분 미만,X,0,0,0,0,0,충분하지 않다.,잠
8-30-2024 22:49:44,F,홍익대,산업디자인전공,3,10분 미만,O,1~3시간,"과제/공부, 잠",과방/과실,5회 이상,친구,충분하다.,잠
8-30-2024 22:49:53,F,홍익대,산업디자인,4,10분 이상 - 30분 미만,X,0,0,0,0,0,충분하다.,과제
8-30-2024 22:50:24,F,홍익대,디자인컨버전스학부,졸업,30분 이상 - 1시간 미만,O,1~3시간,과제/공부,"카페, 라운지",3~5회,혼자,충분하지 않다.,잠
8-30-2024 22:50:30,F,홍익대,디자인컨버전스학부,4,10분 미만,O,1~3시간,"과제/공부, 식사",우리집,3~5회,혼자,충분하지 않다.,잠
8-30-2024 22:53:40,F,홍익대,디자인컨버전스학부,졸업,1시간 이상 - 2시간 미만,O,1~3시간,과제/공부,카페,1~2회,혼자,충분하지 않다.,과제
8-30-2024 22:54:51,F,홍익대,디자인컨버전스학부,졸업,10분 미만,O,1시간 미만,"과제/공부, 술","카페, 라운지",5회 이상,친구,충분하다.,과제
8-30-2024 23:15:01,M,한동대,법,4,10분 미만,O,1시간 미만,과제/공부,"카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-30-2024 23:18:27,F,홍익대,디자인컨버전스학부,4,2시간 이상,O,1~3시간,"과제/공부, 식사",라운지,1~2회,혼자,충분하지 않다.,과제
8-30-2024 23:19:47,F,이화여대,첼로,대학원,30분 이상 - 1시간 미만,O,1시간 미만,"대화, 식사","카페, 라운지",1~2회,친구,충분하다.,잠
8-30-2024 23:20:03,F,숙명여대,아동복지학부,4,1시간 이상 - 2시간 미만,O,3~5시간,"과제/공부, 식사","도서관, 라운지",5회 이상,혼자,충분하다.,잠
8-30-2024 23:20:23,F,경동대,스포츠마케팅학과,졸업,30분 이상 - 1시간 미만,O,1~3시간,"식사, 친구들과 카페","카페, 라운지",1~2회,친구,충분하다.,수다
8-30-2024 23:22:36,F,가톨릭대,영어영문학부,4,30분 이상 - 1시간 미만,X,0,0,0,0,0,충분하지 않다.,잠
8-30-2024 23:25:56,F,서울대,노어노문학과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,"과제/공부, 식사","과방/과실, 라운지",5회 이상,친구,충분하지 않다.,잠
8-30-2024 23:26:53,F,동국대,산업시스템공학과,졸업,1시간 이상 - 2시간 미만,O,1~3시간,과제/공부,도서관,1~2회,혼자,충분하지 않다.,잠
8-30-2024 23:27:20,M,서울대,국사학과,졸업,10분 이상 - 30분 미만,O,1~3시간,"대화, 식사","도서관, 라운지",3~5회,혼자,충분하지 않다.,잠
8-30-2024 23:28:48,M,동국대,정보통신공학과,4,10분 미만,O,1시간 미만,"잠, 식사","과방/과실, 자취방",1~2회,친구,충분하지 않다.,잠
8-30-2024 23:30:47,F,서울대,인문계열(전공 미정),1,10분 이상 - 30분 미만,O,1~3시간,"대화, 식사",과방/과실,5회 이상,친구,충분하지 않다.,잠
8-30-2024 23:32:16,F,이화여대,컴퓨터공학과,4,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사","카페, 라운지",3~5회,친구,충분하지 않다.,잠
8-30-2024 23:32:35,F,성신여대,화학에너지융합학부,3,1시간 이상 - 2시간 미만,O,1~3시간,"대화, 식사","과방/과실, 라운지",3~5회,친구,충분하지 않다.,과제
8-30-2024 23:34:45,M,동국대,컴퓨터공학,4,10분 미만,X,0,0,0,0,0,충분하지 않다.,과제
8-30-2024 23:39:52,M,서울대,역사학부 한국사학전공,2,30분 이상 - 1시간 미만,O,1~3시간,"과제/공부, 식사","동아리방, 과방/과실",3~5회,혼자,충분하다.,잠
8-30-2024 23:40:22,M,한남대,융합디자인,4,10분 이상 - 30분 미만,O,1~3시간,"과제/공부, 식사","카페, 라운지",3~5회,친구,충분하다.,과제
8-30-2024 23:44:45,F,혜전대,작업치료과,졸업,1시간 이상 - 2시간 미만,X,0,0,0,0,0,충분하지 않다.,잠
